Intake Date,Intake Type,Intake Condition,Animal Type,Group,Breed 1
9/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/6/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/6/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
9/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
9/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/6/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/5/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
9/5/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
9/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,POS OWNER,DEAD,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/5/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/5/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/4/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH
9/3/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
9/3/13,POS OWNER,ALIVE,CAT,SHORTHAIR,SIAMESE
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/3/13,OWNER SUR,DEAD,CAT,SHORTHAIR,SNOWSHOE
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
9/3/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/3/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/2/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/2/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
9/2/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH
9/2/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
9/2/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/2/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/2/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
9/2/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
9/2/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
9/1/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
9/1/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,ALIVE,CAT,LONGHAIR,PERSIAN
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
8/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,RUSSIAN BLUE
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
8/31/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/31/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,SIAMESE
8/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH
8/30/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
8/30/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,AMER SH
8/30/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/30/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,AMER SH
8/30/13,OWNER SUR,DEAD,CAT,SHORTHAIR,RUSSIAN BLUE
8/30/13,PERS PROP,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,ALIVE,CAT,LONGHAIR,MAINE COON
8/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,RUSSIAN BLUE
8/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
8/29/13,STRAY,DEAD,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,ALIVE,CAT,SHORTHAIR,AMER SH
8/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/29/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,OWNER SUR,DEAD,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/28/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/27/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/27/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/27/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/27/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,ALIVE,CAT,SHORTHAIR,RUSSIAN BLUE
8/26/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/26/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/25/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/25/13,STRAY,DEAD,CAT,SHORTHAIR,SIAMESE
8/25/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/25/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/25/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/24/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/23/13,OWNER SUR,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC MH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/23/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,LONGHAIR,DOMESTIC LH
8/22/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC MH
8/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/22/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,POS OWNER,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,ALIVE,CAT,LONGHAIR,DOMESTIC LH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/21/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,LITTER,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,ALIVE,CAT,SHORTHAIR,SIAMESE
8/20/13,OWNER SUR,ALIVE,CAT,SHORTHAIR,DOMESTIC SH
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,SIAMESE
8/20/13,STRAY,< 8 WEEKS,CAT,SHORTHAIR,DOMESTIC SH
